service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
7975,0,0,0,0,1,0,0,20200403,20200406
7976,0,1,1,1,1,0,0,20200407,20200410
1239,0,0,0,0,0,1,0,20200516,20200530
5278,1,1,1,1,1,0,0,20200403,20200410
5279,1,1,1,1,1,0,0,20200428,20200602
6702,1,1,1,1,1,0,0,20200428,20200602
13955,1,1,1,1,1,1,0,20200428,20200602
13956,1,1,1,1,1,0,0,20200601,20200701
13957,0,0,0,0,0,0,1,20200601,20200628
13958,0,0,0,0,0,0,1,20200503,20200601
13959,1,1,1,1,1,1,0,20200601,20200701
13960,1,1,1,1,1,1,0,20200601,20200701
4366,0,0,0,0,0,0,1,20200601,20200628
3000,0,0,0,0,0,0,1,20200503,20200601
81,0,0,0,0,0,1,0,20200502,20200509
530,0,0,0,0,1,0,0,20200501,20200508
5280,1,1,1,1,1,1,0,20200601,20200701
9276,1,1,1,1,1,1,1,20200403,20200613
9272,1,1,1,1,1,1,1,20200614,20200701
8967,0,0,0,0,0,1,0,20200411,20200627
7358,1,1,1,1,1,0,1,20200413,20200614
7354,1,1,1,1,1,0,1,20200615,20200701
7357,1,1,1,1,1,0,0,20200403,20200410
8587,0,0,0,0,0,1,0,20200411,20200627
9184,0,1,1,1,0,0,1,20200428,20200601
9181,0,0,0,0,0,0,1,20200601,20200621
13961,0,0,0,0,0,0,1,20200405,20200628
8979,0,0,0,0,1,0,0,20200417,20200426
13962,1,1,1,1,0,0,0,20200406,20200517
13963,1,1,1,1,0,0,1,20200405,20200517
13964,0,0,0,0,1,0,1,20200608,20200628
13966,0,0,0,0,1,0,0,20200403,20200517
13967,0,0,0,0,1,0,0,20200403,20200517
3855,0,0,0,0,1,0,0,20200403,20200517
2622,1,1,1,1,1,1,1,20200403,20200701
13969,1,1,1,1,1,1,1,20200403,20200701
3798,1,1,1,1,1,1,1,20200403,20200701
802,0,0,0,0,1,0,1,20200403,20200405
13970,0,0,0,0,1,0,0,20200403,20200517
13971,0,0,0,0,0,1,1,20200508,20200628
1470,0,0,0,0,0,1,1,20200404,20200405
13972,0,0,0,0,1,0,1,20200403,20200405
13973,0,1,1,1,1,0,0,20200407,20200410
13974,1,1,1,1,1,0,0,20200504,20200602
8249,1,1,1,1,1,0,1,20200413,20200701
13976,0,0,0,0,1,1,1,20200411,20200503
13977,1,1,1,1,1,0,0,20200603,20200701
13978,1,1,1,1,1,0,0,20200414,20200427
13979,0,1,1,1,0,0,0,20200428,20200430
5639,0,0,0,0,0,0,1,20200517,20200601
4229,1,1,1,1,1,0,0,20200428,20200529
1110,1,1,1,1,1,0,0,20200615,20200701
4158,1,1,1,1,0,0,0,20200403,20200409
3754,0,0,0,0,0,1,0,20200620,20200627
13980,0,0,0,0,1,0,0,20200430,20200529
13981,0,0,0,0,1,0,0,20200601,20200626
1098,0,0,0,0,0,1,0,20200502,20200530
8983,0,0,0,0,0,0,1,20200614,20200628
8981,0,0,0,0,0,0,1,20200405,20200426
8984,0,0,0,0,0,0,1,20200601,20200628
13982,1,1,1,1,1,0,0,20200601,20200701
13983,1,1,1,1,0,1,0,20200601,20200701
13984,1,1,1,1,0,0,0,20200428,20200602
13985,0,0,0,0,0,1,0,20200511,20200530
13986,1,1,1,1,1,0,0,20200414,20200427
4239,1,1,1,1,1,0,0,20200603,20200612
4243,0,0,0,0,0,1,0,20200404,20200410
4245,0,0,0,0,0,1,0,20200606,20200613
330,1,1,1,1,1,0,0,20200403,20200410
2243,1,1,1,1,1,1,1,20200411,20200701
13987,0,0,0,0,0,1,0,20200509,20200613
13989,1,1,1,1,1,0,0,20200504,20200612
1916,1,1,1,1,1,0,0,20200615,20200701
8612,0,0,0,0,0,1,0,20200620,20200627
13991,0,0,0,0,0,0,1,20200405,20200426
13993,0,0,0,0,0,1,0,20200404,20200502
13994,1,1,1,1,1,0,0,20200403,20200430
7539,0,0,0,0,0,0,1,20200412,20200614
4232,1,1,1,1,1,0,0,20200414,20200427
973,0,0,0,0,0,0,1,20200621,20200628
4244,0,0,0,0,0,1,0,20200511,20200530
3002,0,0,0,0,0,0,1,20200601,20200628
4581,0,0,0,0,0,0,1,20200621,20200628
1579,1,1,1,1,1,1,0,20200403,20200701
13995,0,0,0,0,0,1,1,20200404,20200517
12194,1,1,1,1,1,0,1,20200403,20200517
7248,1,1,1,1,1,0,0,20200403,20200517
70,0,0,0,0,0,0,1,20200503,20200510
13998,0,0,0,0,1,0,0,20200403,20200517
6721,1,1,1,1,1,0,0,20200403,20200517
9089,0,0,0,0,0,0,1,20200412,20200614
13999,0,0,0,0,0,0,1,20200405,20200628
9059,1,0,0,0,0,0,0,20200406,20200629
4472,0,0,0,0,1,0,0,20200430,20200529
9383,0,0,0,0,1,0,0,20200601,20200626
8607,0,0,0,0,0,1,0,20200404,20200613
8611,1,1,1,1,1,0,0,20200525,20200701
584,1,1,1,1,1,0,0,20200403,20200410
3297,1,1,1,1,1,1,1,20200403,20200701
8182,0,0,0,0,0,1,0,20200404,20200627
8891,0,0,0,0,1,0,0,20200518,20200530
14000,0,0,0,0,1,0,0,20200403,20200517
14001,1,1,1,1,0,0,0,20200406,20200517
682,1,1,1,1,1,0,0,20200403,20200424
8892,0,0,0,0,1,0,0,20200518,20200619
8229,0,0,0,0,0,1,0,20200502,20200510
2545,0,0,0,0,0,1,0,20200413,20200425
7042,0,0,0,0,0,1,0,20200620,20200627
4527,0,0,0,0,1,0,0,20200417,20200424
686,1,1,1,1,1,0,0,20200525,20200701
4600,0,0,0,0,1,0,0,20200403,20200410
8227,0,0,0,0,0,1,0,20200516,20200613
14002,0,0,0,0,0,0,1,20200607,20200628
4221,0,0,0,0,0,0,1,20200405,20200628
4978,1,0,0,0,0,0,0,20200406,20200629
7708,1,1,1,1,1,0,1,20200403,20200517
