,name,address,latitude,longitude,HH_start,HH_end,confidence_index,beer_1,nHHprice_1,HHprice_1,volume_1,beer_2,nHHprice_2,HHprice_2,volume_2,beer_3,nHHprice_3,HHprice_3,volume_3,beer_4,nHHprice_4,HHprice_4,volume_4,beer_5,nHHprice_5,HHprice_5,volume_5,beer_6,nHHprice_6,HHprice_6,volume_6,beer_7,nHHprice_7,HHprice_7,volume_7,beer_8,nHHprice_8,HHprice_8,volume_8
1,A L'abordage,"1 Quai de la Citadelle, 59140 Dunkerque, France",51.0368748,2.3708278,0,0,0,Cheapest beer,4.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A La Bonne Cave,"11 Rue de l'Espérance, 75013 Paris, France",48.8272333,2.3486553,0,0,0,Cheapest beer,,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A La Folie,"26 Avenue Corentin Cariou, 75019 Paris-19E-Arrondissement, France",48.8974799,2.3855854,0,0,3,Kronenbourg Tigre Bock,6.0,,50,1664 Blanche,7.0,,50.0,Carlsberg,7.0,,50.0,,,,,,,,,,,,,,,,,,,,
4,A La Folie,"36 Rue Oberkampf, 75011 Paris, France",48.866723,2.3817382,0,0,5,Cheapest beer,,4.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A La Ville De Lyon,"19 Rue de Lyon, 75012 Paris, France",48.8472651,2.3716071,0,0,2,Cheapest beer,6.4,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A Mi Manera,"Carrer del Parlament, 15, 08015 Barcelona, Espagne",41.3758931,2.161805,0,0,0,Cheapest beer,4.45,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A la Comète,"102 Avenue de Fontainebleau, 94270 Le Kremlin-Bicêtre, France",48.809513,2.362366,0,0,1,Cheapest beer,7.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AFK Bar,"52 Rue de l'Université, 69007 Lyon, France",45.7482728,4.8433576,16,19,0,Cheapest beer,5.5,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AKATHOR,"32 Cours Saleya, 06300 Nice, France",43.69559865,7.275057766360781,0,0,0,Stella Artois,5.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Abattoir Café,"1 Quai Charles Altorffer, 67000 Strasbourg, France",48.5816661,7.7377784,16,19,4,Cheapest beer,5.2,2.9,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Abri Cotier,"14 Rue de la Carrière, 56610 Arradon, France",47.6158995,-2.8288634,0,0,0,Cheapest beer,6.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Abri111,"50 Cours du 14 Juillet, 47000 Agen, France",44.2056864,0.626314,17,18,0,Cheapest beer,4.4,3.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Absinthe,"54 Rue de Turbigo, 75003 Paris, France",48.8656051,2.357138,16,23,3,Cheapest beer,6.9,4.5,50,Meteor,7.0,4.5,50.0,Vedett Extra IPA,8.6,6.0,50.0,La Chouffe,8.6 ,7 ,50,Edelweiss Blanche,8.5 ,6 ,50,Affligem,8.5 ,7 ,50,,,,,,,,
15,Académie De La Bière Cathédrale,"29 Rue des Juifs, 67000 Strasbourg, France",48.5841154,7.7533359,16,18,0,Cheapest beer,5.9,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Accademie De La Bière,"43 Rue Lavoisier, 37000 Tours, France",47.396056900000005,0.6932805137795389,19,21,0,Cheapest beer,5.5,3.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Accasbel,"20 Place Carnot, 69002 Lyon, France",45.750667,4.8264908,0,0,1,Devil’s bit,6.5,,50,Althea,7.2,,50.0,The full irish,8.0,,50.0,Citra,8 ,,50,Sabotage,8 ,,50,Of foam and fury,9 ,,50,Oak king,9.8 ,,50,TBD,TBD,TBD,TBD
18,AdriaWien,"Hollandstraße 8, 1020 Wien, Autriche",48.215232,16.3766403,0,0,0,Stiegl Weisse,3.9,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Afterwork,"27 Grande Rue, 53000 Laval, France",48.0678891,-0.7706984,16,19,3,Cheapest beer,5.0,4.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Agadir Bar,"197 Rue Saint-Denis, 75002 Paris, France",48.8662724,2.3508719,14,20,6,Cheapest beer,3.8,3.8,50,Kronenbourg,,3.0,25.0,Leffe Blonde,5.8,,50.0,1664,3 ,,25,1664 Blanche,4 ,,33,Casablanca,5 ,,33,Duvel,5 ,,33,TBD,TBD,TBD,TBD
22,Agora Bar,"25 Rue des Tonneliers, 67000 Strasbourg, France",48.5805138,7.7488026,16,19,1,Cheapest beer,5.0,3.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Aimé,"116 Boulevard de Ménilmontant, 75020 Paris, France",48.8656828,2.3846983,16,21,2,Cheapest beer,7.0,6.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Alabama Bar,"32 Rue Albert Thomas, 75010 Paris, Francia",48.8696894,2.3630317,16,19,1,Cuvée des Trolls,7.0,5.0,50,Carlsberg,6.5,5.0,50.0,Brewdog Punk IPA,9.0,5.0,50.0,La Bête,7.5 ,5 ,50,Mikkeller Milk Stout,8 ,5 ,50,Brewdog Dead Pony,7 ,,33,Kwak,6 ,,33,TBD,TBD,TBD,TBD
26,Alafût,"106 Rue Martainville, 76000 Rouen, France",49.4391292,1.1019681,17,20,0,Cheapest beer,4.5,3.5,50,Mordue,6.0,5.0,50.0,Paix Dieu,7.0,6.0,50.0,La Chouffe,6 ,5 ,50,,,,,,,,,,,,,,,,
27,Alaus Namai,"8, Vilnius 01108, Lithuania",54.6870458,25.2829111,0,0,1,Cheapest beer,2.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Alcazar,"8 Rue de l'Ancienne Comédie, 62200 Boulogne-sur-Mer, France",50.7222621,1.6068097,0,0,6,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Alchemia,"Estery 5, 33-332 Kraków, Pologne",50.0521471,19.9449342,0,0,0,Cheapest beer,2.12,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Alchimia,"13 Rue Auguste Comte, 21000 Dijon, France",47.3234557,5.0439152,17,19,0,Cheapest beer,4.5,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Ale&Hop,"Carrer de les Basses de Sant Pere, 10, 08003 Barcelona, Espagne",41.388661,2.18019,0,0,0,Cheapest beer,5.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Alex'S Tavern,"10 Rue Saint-Michel, 35000 Rennes, France",48.1138618,-1.681407,0,0,4,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Alexandre,"24 Rue de la Parcheminerie, 75005 Paris, France",48.8518461,2.3446708,10,2230,0,Cheapest beer,8.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Alhambra Bar,"8 Avenue de la République, 75011 Paris, France",48.8666532,2.3664935,17,21,2,Cheapest beer,8.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Alizée,"25 Boulevard Robert Jarry, 72100 Le Mans, France",47.996215,0.1924264,0,0,0,Cheapest beer,3.8,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Aller Simple,"Rue St Jean en Isle 28, 4000 Liège, Belgique",50.6416194,5.5692307,0,0,0,Cheapest beer,4.4,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Alt O Post,"Rue Pierre Legrand, Lille, France",50.6323113,3.0892137,0,0,0,Cheapest beer,4.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,American Dream,"21 Rue Daunou, 75002 Paris-2E-Arrondissement, France",48.8700309,2.3303297,13,17,3,Cheapest beer,9.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Americo's,"Aeroporto Internacional Amílcar Cabral, Espargos 4110, Cap-Vert",16.73879835,-22.951125574679647,0,0,1,strela,4.0,,50,super bock,4.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,
40,Amicale Des Boulistes De Milly-La-Forêt,"Chemin des Petits Saules, 91490 Milly-la-Forêt, France",48.3972271,2.4798899,0,0,0,Cheapest beer,1.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Ammazza,"5 Rue Saint-Sabin, 75011 Paris, France",48.8547782,2.3716124,1630,1830,1,Cheapest beer,8.0,5.0,50,Vedett Extra IPA,9.0,5.0,50.0,Vedett Extra White,9.0,5.0,50.0,,,,,,,,,,,,,,,,,,,,
42,Amor Y Pan,"Rue François Arago, 93100 Montreuil, France",48.8541963,2.4275339,0,0,0,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Amour,"14 Boulevard de Reuilly, 75012 Paris, France",48.838945,2.391046,0,0,1,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Anbra,"Via Giuseppe Garibaldi, 49, 67100 L'Aquila, Italy",42.0276996,13.4329653,0,0,0,Cheapest beer,4.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Anchor Tap,"20A Horselydown Ln, London SE1 2LN, Royaume-Uni",51.5034558,-0.0761861,0,0,0,Cheapest beer,2.56,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Anfield,"Seehofstrasse 7, 6004 Luzern, Schweiz",47.0543203,8.3090171,0,0,1,Cheapest beer,7.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Antares,"Calle 56 820, 1900 La Plata, Buenos Aires, Argentine",-34.922052625,-57.95000985,21,2230,0,Cheapest beer,5.0,2.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Antre De L'echoppe,"4 Rue Benjamin Crémieux, 11100 Narbonne, France",43.1824704,3.00307,0,0,0,Cheapest beer,4.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Antycafe,"Sławkowska 12, 31-014 Kraków, Pologne",50.0638699,19.9375849,0,0,0,Cheapest beer,2.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Aperonome,"4 Boulevard de Ménilmontant, 75020 Paris, France",48.8586149,2.3898991,17,20,1,Cheapest beer,5.0,5.0,50,Brooklyn East IPA,7.5,7.5,50.0,,,,,,,,,,,,,,,,,,,,,,,,
52,Appart' Café,"286 Rue nationale, 59800 Lille, France",50.6301186,3.0460123,0,0,0,Cheapest beer,4.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Apu's Restobar,"Federico Errázuriz 914, Santa Cruz, VI Región, Chili",-34.5254316,-71.3731701,0,0,0,Cheapest beer,3.6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Apéro Saint-Martin,"104 Quai de Jemmapes, 75010 Paris, France",48.873701,2.3639545,14,20,2,Meteor,7.0,5.0,50,Gallia Lager,8.0,,50.0,Gallia IPA,8.0,,50.0,Gallia Weissbier,8 ,,50,Goudale,8 ,,50,Pietra,8 ,,50,BAPBAP Originale,6 ,,33,TBD,TBD,TBD,TBD
