,Unnamed: 0,name,address,latitude,longitude,HH_start,HH_end,confidence_index,beer_1,nHHprice_1,HHprice_1,volume_1,beer_2,nHHprice_2,HHprice_2,volume_2,beer_3,nHHprice_3,HHprice_3,volume_3,beer_4,nHHprice_4,HHprice_4,volume_4,beer_5,nHHprice_5,HHprice_5,volume_5,beer_6,nHHprice_6,HHprice_6,volume_6,beer_7,nHHprice_7,HHprice_7,volume_7,beer_8,nHHprice_8,HHprice_8,volume_8,display_name,house_number,road,neighbourhood,city_district,city,municipality,county,state,country,postcode,country_code,suburb,pharmacy,footway,residential,town,state_district,address29,pedestrian,bar,hamlet,village,cycleway,attraction,pub,post_office,restaurant,convenience,aerodrome,retail,hotel,locality,public_building,newsagent,clothes,province,estate_agent,cafe,place_of_worship,arts_centre,cinema,building,fast_food,post_box,supermarket,townhall,beauty,region,bank,parking,shoes,hairdresser,museum,industrial,clinic,commercial,alcohol,marina,theatre,memorial,artwork,castle,archaeological_site,subway_entrance,bakery,bus_stop,car,information,station,house,chalet,community_centre,bay,nightclub,courthouse,mobile_phone,hostel,optician,garden_centre,school,monument,books,travel_agency,computer,butcher,dry_cleaning,bicycle,mall,doctors,furniture,university,library,tram_stop,college,caravan_site,car_rental,stadium,sports_centre,water,path,wood,pitch,recycling,shop,address26,crematorium,car_repair,kindergarten,ferry_terminal
0,1,A L'abordage,"1 Quai de la Citadelle, 59140 Dunkerque, France",51.0368748,2.3708278,0,0,0,Cheapest beer,4.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1, Quai de la Citadelle, La Citadelle, Dunkerque, Nord, Hauts-de-France, France métropolitaine, 59140, France",1,Quai de la Citadelle,La Citadelle,Dunkerque,Dunkerque,Dunkerque,Nord,Hauts-de-France,France,59140,fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,A La Bonne Cave,"11 Rue de l'Espérance, 75013 Paris, France",48.827233299999996,2.3486553,0,0,0,Cheapest beer,,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11, Rue de l'Espérance, Cité Florale, Quartier de la Maison-Blanche, Paris, Île-de-France, France métropolitaine, 75013, France",11,Rue de l'Espérance,Cité Florale,,Paris,Paris,Paris,Île-de-France,France,75013,fr,Quartier de la Maison-Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,A La Folie,"26 Avenue Corentin Cariou, 75019 Paris-19E-Arrondissement, France",48.8974799,2.3855854,0,0,3,Kronenbourg Tigre Bock,6.0,,50,1664 Blanche,7.0,,50.0,Carlsberg,7.0,,50.0,,,,,,,,,,,,,,,,,,,,,"32, Avenue Corentin Cariou, Quartier du Pont-de-Flandre, Paris, Île-de-France, France métropolitaine, 75019, France",32,Avenue Corentin Cariou,,,Paris,Paris,Paris,Île-de-France,France,75019,fr,Quartier du Pont-de-Flandre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,A La Folie,"36 Rue Oberkampf, 75011 Paris, France",48.866723,2.3817382,0,0,5,Cheapest beer,,4.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pharmacie Rossi, Rue Oberkampf, Quartier Saint-Ambroise, Paris, Île-de-France, France métropolitaine, 75011, France",,Rue Oberkampf,,,Paris,Paris,Paris,Île-de-France,France,75011,fr,Quartier Saint-Ambroise,Pharmacie Rossi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,A La Ville De Lyon,"19 Rue de Lyon, 75012 Paris, France",48.8472651,2.3716071,0,0,2,Cheapest beer,6.4,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19, Rue de Lyon, Quartier des Quinze-Vingts, Paris, Île-de-France, France métropolitaine, 75012, France",19,Rue de Lyon,,,Paris,Paris,Paris,Île-de-France,France,75012,fr,Quartier des Quinze-Vingts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,A Mi Manera,"Carrer del Parlament, 15, 08015 Barcelona, Espagne",41.375893100000006,2.1618049999999998,0,0,0,Cheapest beer,4.45,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20, Carrer de Viladomat, Superilla Sant Antoni, Eixample, Barcelona, Barcelonès, Barcelona, Catalunya, 08015, España",20,,,,Barcelona,Barcelonès,Barcelona,Catalunya,España,08015,es,Eixample,,Carrer de Viladomat,Superilla Sant Antoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,A la Comète,"102 Avenue de Fontainebleau, 94270 Le Kremlin-Bicêtre, France",48.809513,2.362366,0,0,1,Cheapest beer,7.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102, Avenue de Fontainebleau, Le Kremlin-Bicêtre, Arrondissement de L'Haÿ-les-Roses, Val-de-Marne, Île-de-France, France métropolitaine, 94270, France",102,Avenue de Fontainebleau,,,,Arrondissement de L'Haÿ-les-Roses,Val-de-Marne,Île-de-France,France,94270,fr,,,,,Le Kremlin-Bicêtre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,AFK Bar,"52 Rue de l'Université, 69007 Lyon, France",45.748272799999995,4.843357599999999,16,19,0,Cheapest beer,5.5,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52, Rue de l'Université, Lyon 7e Arrondissement, Lyon, Métropole de Lyon, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69007, France",52,Rue de l'Université,,Lyon 7e Arrondissement,Lyon,Lyon,Métropole de Lyon,Auvergne-Rhône-Alpes,France,69007,fr,Lyon 7e Arrondissement,,,,,Circonscription départementale du Rhône,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,AKATHOR,"32 Cours Saleya, 06300 Nice, France",43.69559865,7.275057766360781,0,0,0,Stella Artois,5.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Place Pierre Gautier, Cours Saleya, Vieux Nice, Nice, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, France",,,,,Nice,Nice,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,France,,fr,Vieux Nice,,,,,,Place Pierre Gautier,Cours Saleya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11,Abattoir Café,"1 Quai Charles Altorffer, 67000 Strasbourg, France",48.5816661,7.7377784,16,19,4,Cheapest beer,5.2,2.9,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1, Quai Charles Altorffer, La Petite France, Krutenau, Strasbourg, Bas-Rhin, Grand Est, France métropolitaine, 67001, France",1,Quai Charles Altorffer,La Petite France,,Strasbourg,Strasbourg,Bas-Rhin,Grand Est,France,67001,fr,Krutenau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12,Abri Cotier,"14 Rue de la Carrière, 56610 Arradon, France",47.6158995,-2.8288634,0,0,0,Cheapest beer,6.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L'abri-cotier, 14, Rue de la Carrière, Pen Mail, Arradon, Vannes, Bretagne, France métropolitaine, 56610, France",14,Rue de la Carrière,,,,Vannes,,Bretagne,France,56610,fr,,,,,,,,,L'abri-cotier,Pen Mail,Arradon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,13,Abri111,"50 Cours du 14 Juillet, 47000 Agen, France",44.2056864,0.626314,17,18,0,Cheapest beer,4.4,3.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abri 111, 50, Cours du 14 Juillet, Agen, Lot-et-Garonne, Nouvelle-Aquitaine, France métropolitaine, 47000, France",50,Cours du 14 Juillet,,,,Agen,Lot-et-Garonne,Nouvelle-Aquitaine,France,47000,fr,,,,,Agen,,,,Abri 111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,14,Absinthe,"54 Rue de Turbigo, 75003 Paris, France",48.8656051,2.357138,16,23,3,Cheapest beer,6.9,4.5,50,Meteor,7.0,4.5,50.0,Vedett Extra IPA,8.6,6.0,50.0,La Chouffe,8.6 ,7 ,50,Edelweiss Blanche,8.5 ,6 ,50,Affligem,8.5 ,7 ,50,,,,,,,,,"54, Rue de Turbigo, Quartier des Arts-et-Métiers, Paris, Île-de-France, France métropolitaine, 75003, France",54,,,,Paris,Paris,Paris,Île-de-France,France,75003,fr,Quartier des Arts-et-Métiers,,,,,,,,,,,Rue de Turbigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,15,Académie De La Bière Cathédrale,"29 Rue des Juifs, 67000 Strasbourg, France",48.584115399999995,7.7533359,16,18,0,Cheapest beer,5.9,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grande Île, Rue des Moulins, La Petite France, Krutenau, Strasbourg, Bas-Rhin, Grand Est, France métropolitaine, 67001, France",,,La Petite France,,Strasbourg,Strasbourg,Bas-Rhin,Grand Est,France,67001,fr,Krutenau,,,,,,,Rue des Moulins,,,,,Grande Île,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,16,Accademie De La Bière,"43 Rue Lavoisier, 37000 Tours, France",47.39605690000001,0.6932805137795389,19,21,0,Cheapest beer,5.5,3.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L'Académie de la Bière, 43, Rue Lavoisier, Blaise Pascal, Cathédrale, Tours, Indre-et-Loire, Centre-Val de Loire, France métropolitaine, 37000, France",43,Rue Lavoisier,Blaise Pascal,,Tours,Tours,Indre-et-Loire,Centre-Val de Loire,France,37000,fr,Cathédrale,,,,,,,,,,,,,L'Académie de la Bière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,17,Accasbel,"20 Place Carnot, 69002 Lyon, France",45.750667,4.826490799999999,0,0,1,Devil’s bit,6.5,,50,Althea,7.2,,50.0,The full irish,8.0,,50.0,Citra,8 ,,50,Sabotage,8 ,,50,Of foam and fury,9 ,,50,Oak king,9.8 ,,50,TBD,TBD,TBD,TBD,"20, Place Carnot, Saint-Georges, Lyon 2e Arrondissement, Lyon, Métropole de Lyon, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69002, France",20,Place Carnot,Saint-Georges,Lyon 2e Arrondissement,Lyon,Lyon,Métropole de Lyon,Auvergne-Rhône-Alpes,France,69002,fr,Lyon 2e Arrondissement,,,,,Circonscription départementale du Rhône,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
